action,sku,name,ean,originalSku,originalBrand,error
WOULD_DELETE,0126-7909434878489,350044 TENIS COURO 17 IMIGRANTE SERIE X BOURBON CHANTILLY PRT ESSENCIAL,7909434878489,0190-7909434878489,A DEFINIR,
KEEP_NO_EAN,0126-1200161760136,PRIME SETTENIS; DE,,,,
KEEP_NO_EAN,0126-1200143660317,CLUB C GROUNDS UKTE,,,,
KEEP_NO_EAN,0126-1200161249594,CLUB C DOUBLE REVENG,,,,
KEEP_NO_EAN,0126-1200161330896,BB 4500 DMXTENIS; D,,,,
KEEP_NO_EAN,0126-1200161268960,ROYAL ULTRA FLASHTE,,,,
KEEP_NO_EAN,0126-1200161274343,ERS WORLDTENIS; DE,,,,
KEEP_NO_EAN,0126-1200161241093,PREMIER ROAD PLUS VI,,,,
KEEP_NO_EAN,0126-1200161309267,AT CRAZE 3TENIS; DE,,,,
KEEP_NO_EAN,0126-7908273500025,MEIA CANO CURTO RUNNING  TAM - CINZA - 33/38,,,,
KEEP_NO_EAN,0126-7908273500018,MEIA CANO CURTO RUNNING  TAM - CINZA - 39/43,,,,
KEEP_NO_EAN,0126-7908273500032,MEIA CANO CURTO RUNNING  TAM - PRETO - 33/38,,,,
KEEP_NO_EAN,0126-7908273500049,MEIA CANO CURTO RUNNING  TAM - PRETO - 39/43,,,,
KEEP_NO_EAN,0126-7908273500155,MANGUITO LISO  TAM - BRANCO - P-M,,,,
KEEP_NO_EAN,0126-7908273500162,MANGUITO LISO  TAM - BRANCO - G-GG,,,,
KEEP_NO_EAN,0126-7908273500179,MANGUITO LISO  TAM - PRETO - P-M,,,,
KEEP_NO_EAN,0126-7908273500186,MANGUITO LISO  TAM - PRETO - G-GG,,,,
WOULD_DELETE,0126-7908273503385,CANELITO DE COMPRESSAO REFLEXX VELOCITY - PRETO -,7908273503385,0110-7908273503385,A DEFINIR,
WOULD_DELETE,0126-7908273503408,CANELITO DE COMPRESSAO REFLEXX VELOCITY - PINK -,7908273503408,0110-7908273503408,A DEFINIR,
WOULD_DELETE,0126-7908273503415,CANELITO DE COMPRESSAO REFLEXX VELOCITY - AMARELO LUMINOSO -,7908273503415,0110-7908273503415,A DEFINIR,
KEEP_NO_EAN,0126-7908273500957,MEIA DE CICLISMO COM REFLETIVO - PRETO - 33/38,,,,
KEEP_NO_EAN,0126-7908273500940,MEIA DE CICLISMO COM REFLETIVO - PRETO - 39/43,,,,
KEEP_NO_EAN,0126-7908273500971,MEIA DE CICLISMO COM REFLETIVO - ROSA LUMINOSO - 33/38,,,,
KEEP_NO_EAN,0126-7908273500995,MEIA DE CICLISMO COM REFLETIVO - ENZIAN - 33/38,,,,
KEEP_NO_EAN,0126-7908273501015,MEIA DE CICLISMO COM REFLETIVO - AMARELO LUMINOSO - 33/38,,,,
KEEP_NO_EAN,0126-7908273501008,MEIA DE CICLISMO COM REFLETIVO - AMARELO LUMINOSO - 39/43,,,,
KEEP_NO_EAN,0126-4133,MEIA MULTIESPORTE NEW - PRETO/BRANCO - 33/38,,,,
KEEP_NO_EAN,0126-4134,MEIA MULTIESPORTE NEW - PRETO/BRANCO - 39/43,,,,
KEEP_NO_EAN,0126-4135,MEIA MULTIESPORTE NEW - BRANCO/PRETO - 33/38,,,,
KEEP_NO_EAN,0126-4136,MEIA MULTIESPORTE NEW - BRANCO/PRETO - 39/43,,,,
KEEP_NO_EAN,0126-4137,MEIA MULTIESPORTE NEW - ROYAL/BRANCO - 33/38,,,,
KEEP_NO_EAN,0126-4138,MEIA MULTIESPORTE NEW - ROYAL/BRANCO - 39/43,,,,
KEEP_NO_EAN,0126-4139,MEIA MULTIESPORTE NEW - VERMELHO/BRANCO - 33/38,,,,
KEEP_NO_EAN,0126-4140,MEIA MULTIESPORTE NEW - VERMELHO/BRANCO - 39/43,,,,
KEEP_NO_EAN,0126-4141,MEIA MULTIESPORTE NEW - MARINHO/BRANCO - 33/38,,,,
KEEP_NO_EAN,0126-4142,MEIA MULTIESPORTE NEW - MARINHO/BRANCO - 39/43,,,,
KEEP_NO_EAN,0126-7908273504702,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - PRETO - 33/38,,,,
KEEP_NO_EAN,0126-7908273504719,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - PRETO - 39/43,,,,
KEEP_NO_EAN,0126-7908273504733,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - BRANCO - 33/38,,,,
KEEP_NO_EAN,0126-7908273504740,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - BRANCO - 39/43,,,,
KEEP_NO_EAN,0126-7908273504764,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - ROYAL - 33/38,,,,
KEEP_NO_EAN,0126-7908273504771,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - ROYAL - 39/43,,,,
KEEP_NO_EAN,0126-7908273504788,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - VERDE - 33/38,,,,
KEEP_NO_EAN,0126-7908273504795,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - VERDE - 39/43,,,,
KEEP_NO_EAN,0126-7908273504801,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - VERMELHO - 33/38,,,,
KEEP_NO_EAN,0126-7908273504818,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - VERMELHO - 39/43,,,,
KEEP_NO_EAN,0126-7908273504399,MOCHILA SACOLA VISTHO SPORTS  - VERMELHO,,,,
KEEP_NO_EAN,0126-7908273504405,MOCHILA SACOLA VISTHO SPORTS  - AZUL,,,,
KEEP_NO_EAN,0126-7908273500988,MEIA DE CICLISMO COM REFLETIVO - ENZIAN - 39/43,,,,
KEEP_NO_EAN,0126-7908273504849,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - MARINHO - 33/38,,,,
KEEP_NO_EAN,0126-7908273504856,KIT MEIAO CORTADO E MEIA MULTI ESPORTES  - MARINHO - 39/43,,,,
